Gene_ID,adj.P.Val,P.Value,t,logFC,Gene_symbol
ILMN_1915076,0.01936469,1.75E-05,10.47351663,0.07853161,
ILMN_1740426,0.019819376,1.84E-05,-10.38949708,-0.119555282,RASD1
ILMN_1805922,0.019819376,1.87E-05,10.36558089,0.080316312,EBPL
ILMN_2128428,0.020624598,2.01E-05,-10.25282987,-0.234847484,DAB2
ILMN_1717490,0.020624598,2.03E-05,10.23422458,0.10868542,RPL6
ILMN_1807304,0.020624598,2.09E-05,10.18977609,0.125058767,MBNL1
ILMN_1687652,0.020624598,2.11E-05,-10.17158374,-0.087971498,TGFB3
ILMN_1730229,0.021251365,2.22E-05,-10.09418591,-0.103295643,CGNL1
ILMN_1796082,0.02215291,2.39E-05,9.980837893,0.152758424,
ILMN_1783231,0.02215291,2.41E-05,-9.970775164,-0.086607228,PLEKHB1
ILMN_2079285,0.022906605,2.53E-05,9.891064117,0.136230893,ATP5L
ILMN_2231298,0.023018054,2.70E-05,-9.795314718,-0.185169651,SERHL2
